;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;11;Cádiz;11029;Puerto Serrano;151;42;36;0;6;66;<5;40;<5;31;77
202401;Enero de 2024;1;Andalucía;11;Cádiz;11030;Rota;582;132;177;15;52;194;12;105;46;66;365
202401;Enero de 2024;1;Andalucía;11;Cádiz;11031;San Fernando;862;228;206;17;105;295;11;<5;77;118;663
202401;Enero de 2024;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;1748;351;579;34;156;596;32;795;37;194;722
202401;Enero de 2024;1;Andalucía;11;Cádiz;11033;San Roque;698;227;196;26;81;151;17;6;143;151;398
202401;Enero de 2024;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;126;6;52;<5;<5;61;<5;100;<5;<5;20
202401;Enero de 2024;1;Andalucía;11;Cádiz;11035;Tarifa;264;96;43;6;53;58;8;21;25;38;180
202401;Enero de 2024;1;Andalucía;11;Cádiz;11036;Torre Alháquime;24;<5;<5;0;0;18;0;21;0;<5;<5
202401;Enero de 2024;1;Andalucía;11;Cádiz;11037;Trebujena;120;<5;67;<5;<5;44;<5;22;<5;<5;94
202401;Enero de 2024;1;Andalucía;11;Cádiz;11038;Ubrique;457;48;127;35;74;138;35;5;310;12;130
202401;Enero de 2024;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;234;73;49;7;34;68;<5;15;<5;29;186
202401;Enero de 2024;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;11;<5;5;0;0;5;0;<5;0;0;9
202401;Enero de 2024;1;Andalucía;11;Cádiz;11041;Villamartín;413;39;165;6;11;189;<5;120;63;31;199
202401;Enero de 2024;1;Andalucía;11;Cádiz;11042;Zahara;36;5;16;0;<5;14;0;11;0;9;16
202401;Enero de 2024;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;172;45;30;16;30;50;<5;7;<5;33;130
202401;Enero de 2024;1;Andalucía;11;Cádiz;11902;San José del Valle;105;39;24;5;11;25;<5;39;<5;18;44
202401;Enero de 2024;1;Andalucía;11;Cádiz;11903;San Martín del Tesorillo;11;<5;6;0;<5;<5;0;10;0;0;<5
202401;Enero de 2024;1;Andalucía;14;Córdoba;14001;Adamuz;493;171;180;<5;58;81;<5;435;<5;5;50
202401;Enero de 2024;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;1354;775;131;6;298;140;<5;1149;5;45;155
